jiscode,自治体,住所,緯度,経度,人口
3483,岩泉町,下閉伊郡岩泉町岩泉字惣畑59-5,39.843204,141.796675,8726 
3484,田野畑村,下閉伊郡田野畑村田野畑143-1,39.930454,141.888864,3059 
3485,普代村,下閉伊郡普代村第9地割字銅屋13-2,40.005164,141.886014,2487 
3501,軽米町,九戸郡軽米町大字軽米10-85,40.326678,141.460349,8421 
3503,野田村,九戸郡野田村大字野田第20地割14,40.110272,141.817674,3936 
3506,九戸村,九戸郡九戸村大字伊保内第10地割11番地6,40.211356,141.418982,5378 
3507,洋野町,九戸郡洋野町種市23-27,40.408298,141.71865,15091 
3524,一戸町,二戸郡一戸町高善寺字大川鉢24-9,40.212733,141.29546,11494 
4100,仙台市,仙台市青葉区国分町3-7-1,38.268008,140.869617,1096704 
4202,石巻市,石巻市穀町14-1,38.434457,141.302906,140151 
4203,塩竈市,塩竈市旭町1-1,38.31436,141.02203,52203 
4205,気仙沼市,気仙沼市八日町1-1-1,38.908127,141.570044,61147 
4206,白石市,白石市大手町1-1,38.002467,140.619888,32758 
4207,名取市,名取市増田字柳田80,38.171501,140.891849,78718 
4208,角田市,角田市角田字大坊41,37.977016,140.781543,27976 
4209,多賀城市,多賀城市中央2-1-1,38.293803,141.004369,62827 
4211,岩沼市,岩沼市桜1-6-20,38.104303,140.869949,44068 
4212,登米市,登米市迫町佐沼字中江2-6-1,38.691856,141.18772,76037 
4213,栗原市,栗原市築館薬師1-7-1,38.730062,141.021508,64637 
4214,東松島市,東松島市矢本字上河戸36-1,38.426134,141.210278,39098 
4215,大崎市,大崎市古川七日町1-1,38.577132,140.955565,127330 
4216,富谷市,富谷市富谷坂松田30,38.399918,140.895485,51651 
4301,蔵王町,刈田郡蔵王町大字円田字西浦北10,38.098128,140.65868,11418 
4302,七ケ宿町,刈田郡七ケ宿町字関126,37.993063,140.441615,1262 
4321,大河原町,柴田郡大河原町字新南19,38.049412,140.730774,23571 
4322,村田町,柴田郡村田町大字村田字迫6,38.118589,140.722404,10666 
4323,柴田町,柴田郡柴田町船岡中央2-3-45,38.056599,140.765798,38271 
4324,川崎町,柴田郡川崎町大字前川字裏丁175-1,38.177751,140.643188,8345 
4341,丸森町,伊具郡丸森町字鳥屋120,37.911536,140.765365,12262 
4361,亘理町,亘理郡亘理町字悠里1,38.044263,140.867924,33087 
4362,山元町,亘理郡山元町浅生原字作田山32,37.962706,140.878052,12046 
4401,松島町,宮城郡松島町高城字帰命院下一19-1,38.380149,141.067291,13323 
4404,七ヶ浜町,宮城郡七ヶ浜町東宮浜字丑谷辺5-1,38.304554,141.059143,18132 
4406,利府町,宮城郡利府町利府字新並松4,38.330355,140.975793,35182 
4421,大和町,黒川郡大和町吉岡まほろば1-1-1,38.43733,140.886309,28786 
4422,大郷町,黒川郡大郷町粕川字西長崎5-8,38.424244,141.00446,7813 
4424,大衡村,黒川郡大衡村大衡字平林62,38.467278,140.879982,5849 
4444,色麻町,加美郡色麻町四竃字北谷地41,38.548921,140.849876,6698 
4445,加美町,加美郡加美町字西田3-5,38.57177,140.854759,21943 
4501,涌谷町,遠田郡涌谷町字新町裏153-2,38.539704,141.128105,15388 
4505,美里町,遠田郡美里町北浦字駒米13,38.5444,141.056717,23994 
4581,女川町,牡鹿郡女川町女川1-1-1,38.445388,141.442693,6430 
4606,南三陸町,本吉郡南三陸町志津川字沼田101,38.680666,141.462492,12225 
5201,秋田市,秋田市山王1-1-1,39.719929,140.102512,307672 
5202,能代市,能代市上町1-3,40.212131,140.026641,49968 
5203,横手市,横手市中央町8-2,39.313777,140.566636,85555 
5204,大館市,大館市字中城20,40.271685,140.565241,69237 
5206,男鹿市,男鹿市船川港船川字泉台66-1,39.886721,139.8475,25154 
5207,湯沢市,湯沢市佐竹町1-1,39.164074,140.494683,42091 
5209,鹿角市,鹿角市花輪字荒田4-1,40.215789,140.788519,29088 
5210,由利本荘市,由利本荘市尾崎17,39.385814,140.048819,74707 
5211,潟上市,潟上市天王字棒沼台226-1,39.857288,140.013049,31720 
5212,大仙市,大仙市大曲花園町1-1,39.45309,140.475448,77657 
5213,北秋田市,北秋田市花園町19-1,40.226046,140.370728,30198 
5214,にかほ市,にかほ市象潟町字浜ノ田1,39.203067,139.907649,23435 
5215,仙北市,仙北市田沢湖生保内字宮ノ後30,39.700044,140.730728,24610 
5303,小坂町,鹿角郡小坂町小坂字上谷地41-1,40.332926,140.736191,4780 
5327,上小阿仁村,北秋田郡上小阿仁村小沢田字向川原118,40.063263,140.295736,2063 
5346,藤里町,山本郡藤里町藤琴字藤琴8,40.278399,140.261879,2896 
5348,三種町,山本郡三種町鵜川字岩谷子8,40.101615,140.004981,15254 
5349,八峰町,山本郡八峰町峰浜目名潟字目長田118,40.318715,140.038618,6577 
5361,五城目町,南秋田郡五城目町西磯ノ目1-1-1,39.943895,140.111309,8538 
5363,八郎潟町,南秋田郡八郎潟町字大道80,39.949023,140.073358,5583 
5366,井川町,南秋田郡井川町北川尻字海老沢樋ノ口78-1,39.914188,140.081265,4566 
5368,大潟村,南秋田郡大潟村字中央1-1,40.017788,139.960064,3011 
5434,美郷町,仙北郡美郷町土崎字上野乙170-10,39.461633,140.582127,18613 
5463,羽後町,雄勝郡羽後町西馬音内字中野177,39.199323,140.412881,13825 
5464,東成瀬村,雄勝郡東成瀬村田子内字仙人下30-1,39.179185,140.648892,2704 
6201,山形市,山形市旅篭町2-3-25,38.255436,140.339605,247590 
6202,米沢市,米沢市金池5-2-25,37.921869,140.11614,81252 
6203,鶴岡市,鶴岡市馬場町9-25,38.727183,139.826725,122347 
6204,酒田市,酒田市本町2-2-45,38.914386,139.836513,100273 
6205,新庄市,新庄市沖の町10-37,38.76496,140.301664,34432 
6206,寒河江市,寒河江市中央1-9-45,38.380954,140.276068,40189 
6207,上山市,上山市河崎1-1-10,38.149562,140.26783,29110 
6208,村山市,村山市中央1-3-6,38.483352,140.38038,22516 
6209,長井市,長井市栄町1-1,38.106088,140.033947,26543 
